OTUID,AQ993,AQ996,AQ840,AQ1332,AQ190,AQ421,AQ423,AQ422,AQ733,AQ1409,AQ500,AQ501,AQ1097,AQ1098,AQ1099,AQ1279,AQ889,AQ1461,AQ1463,AQ1462,AQ1464,AQ1515,AQ1514,AQ1516,AQ1513,AQ891,AQ892,AQ707,AQ1074,AQ1072,AQ1073,AQ1071,AQ397,AQ395,AQ605,AQ604,AQ1202,AQ1204,AQ1539,AQ1334,AQ1331,AQ1333,AQ944,AQ943,AQ941,AQ164,AQ1230,AQ1542,AQ1540,AQ1541,AQ1305,AQ1306,AQ1307,AQ1308,AQ112,AQ1047,AQ1045,AQ1227,AQ1228,AQ1176,AQ60,AQ1178,AQ967,AQ968,AQ969,AQ631,AQ1149,AQ1490,AQ1360,AQ138,AQ1021,AQ1020,AQ1022,AQ1150,AQ1489,AQ1488,AQ838,AQ839,AQ837,AQ1019,AQ656,AQ1177,AQ1126,AQ1357,AQ1359,AQ1358,AQ812,AQ1229,AQ785,AQ786,AQ1436,AQ1437,AQ1435,AQ1438,AQ34,AQ863,AQ865,AQ866,AQ1281,AQ1280,AQ1282,AQ681,AQ449,AQ1100,AQ1125,AQ1383,AQ1384,AQ1385,AQ1386,AQ1410,AQ1411,AQ1412,AQ1256,AQ1254,AQ1255,AQ1253
otu_829851,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_276149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu_1108960,0,0,1,1,0,0,0,0,8,0,2,0,0,0,1,5,0,3,1,1,0,0,4,0,0,0,0,1,4,1,0,0,0,0,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,1,0,0,7,0,0,0,3,0,0,1,1,0,4,0,0,4,4,2,0,0,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3
otu_836783,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu_687940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_814277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_1084952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0
otu_1099914,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu_1074210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu_1002005,0,0,2,29,1,0,3,16,0,1,0,1,3,6,0,17,7,2,4,4,0,0,4,3,2,1,1,0,30,4,0,0,0,3,32,5,5,2,1,1,0,0,10,1,0,2,1,2,1,1,0,23,0,0,1,0,1,0,3,9,2,0,1,11,0,15,4,1,3,1,0,0,1,12,0,5,1,1,2,11,11,1,0,0,0,1,9,0,0,7,23,0,2,3,1,4,2,19,0,1,9,14,0,17,0,1,1,0,0,1,0,1,3,9,0,0
